x,y,case
-0.231,-0.231,2.000
-0.300,-0.300,2.000
0.253,0.253,2.000
-0.007,-0.007,2.000
-1.109,-1.109,2.000
0.162,0.162,2.000
0.331,0.331,2.000
0.169,0.169,2.000
0.028,0.028,2.000
0.105,0.105,2.000
0.355,0.355,2.000
0.053,0.053,2.000
-0.555,-0.555,2.000
-0.041,-0.041,2.000
-0.835,-0.835,2.000
0.106,0.106,2.000
0.143,0.143,2.000
-0.090,-0.090,2.000
-0.071,-0.071,2.000
0.018,0.018,2.000
-0.348,-0.348,2.000
-0.430,-0.430,2.000
0.182,0.182,2.000
-0.208,-0.208,2.000
0.302,0.302,2.000
0.038,0.038,2.000
-0.739,-0.739,2.000
-0.235,-0.235,2.000
-0.358,-0.358,2.000
0.191,0.191,2.000
0.065,0.065,2.000
-0.411,-0.411,2.000
0.717,0.717,2.000
0.109,0.109,2.000
-0.253,-0.253,2.000
0.025,0.025,2.000
0.816,0.816,2.000
-0.271,-0.271,2.000
0.210,0.210,2.000
0.511,0.511,2.000
-0.778,-0.778,2.000
0.127,0.127,2.000
-0.029,-0.029,2.000
0.505,0.505,2.000
0.409,0.409,2.000
-0.673,-0.673,2.000
-0.054,-0.054,2.000
-0.249,-0.249,2.000
0.043,0.043,2.000
-0.343,-0.343,2.000
-0.476,-0.476,2.000
-0.033,-0.033,2.000
-0.263,-0.263,2.000
0.188,0.188,2.000
-0.479,-0.479,2.000
-0.089,-0.089,2.000
-0.058,-0.058,2.000
0.371,0.371,2.000
-0.208,-0.208,2.000
0.264,0.264,2.000
0.379,0.379,2.000
-0.402,-0.402,2.000
-0.294,-0.294,2.000
-0.111,-0.111,2.000
0.274,0.274,2.000
0.330,0.330,2.000
0.048,0.048,2.000
0.259,0.259,2.000
-0.417,-0.417,2.000
-0.342,-0.342,2.000
-0.220,-0.220,2.000
-0.214,-0.214,2.000
0.496,0.496,2.000
0.135,0.135,2.000
0.231,0.231,2.000
-0.642,-0.642,2.000
-0.166,-0.166,2.000
-0.065,-0.065,2.000
0.003,0.003,2.000
0.246,0.246,2.000
-0.358,-0.358,2.000
0.206,0.206,2.000
0.546,0.546,2.000
0.062,0.062,2.000
0.092,0.092,2.000
-0.169,-0.169,2.000
-0.076,-0.076,2.000
0.041,0.041,2.000
-0.633,-0.633,2.000
0.428,0.428,2.000
-0.070,-0.070,2.000
0.096,0.096,2.000
-0.218,-0.218,2.000
-0.311,-0.311,2.000
-0.119,-0.119,2.000
-0.063,-0.063,2.000
-0.112,-0.112,2.000
-0.124,-0.124,2.000
0.047,0.047,2.000
-0.331,-0.331,2.000
-0.077,-0.077,2.000
-0.164,-0.164,2.000
-0.175,-0.175,2.000
0.205,0.205,2.000
0.053,0.053,2.000
-0.393,-0.393,2.000
-0.144,-0.144,2.000
-0.179,-0.179,2.000
-0.025,-0.025,2.000
-0.108,-0.108,2.000
-0.492,-0.492,2.000
0.612,0.612,2.000
0.478,0.478,2.000
-0.175,-0.175,2.000
-0.256,-0.256,2.000
-0.426,-0.426,2.000
-0.073,-0.073,2.000
-0.320,-0.320,2.000
-0.005,-0.005,2.000
0.308,0.308,2.000
0.182,0.182,2.000
-0.321,-0.321,2.000
0.385,0.385,2.000
0.339,0.339,2.000
0.072,0.072,2.000
0.043,0.043,2.000
0.166,0.166,2.000
-0.066,-0.066,2.000
0.196,0.196,2.000
-0.109,-0.109,2.000
0.121,0.121,2.000
-0.503,-0.503,2.000
0.179,0.179,2.000
-0.103,-0.103,2.000
0.060,0.060,2.000
0.154,0.154,2.000
-0.083,-0.083,2.000
-0.061,-0.061,2.000
0.057,0.057,2.000
0.100,0.100,2.000
-0.643,-0.643,2.000
-0.279,-0.279,2.000
-0.019,-0.019,2.000
-0.352,-0.352,2.000
-0.273,-0.273,2.000
-0.007,-0.007,2.000
-0.153,-0.153,2.000
-0.171,-0.171,2.000
0.430,0.430,2.000
-0.236,-0.236,2.000
-0.078,-0.078,2.000
-0.054,-0.054,2.000
0.435,0.435,2.000
-0.024,-0.024,2.000
-0.204,-0.204,2.000
0.413,0.413,2.000
0.230,0.230,2.000
-0.309,-0.309,2.000
-0.338,-0.338,2.000
-0.094,-0.094,2.000
-0.215,-0.215,2.000
-0.655,-0.655,2.000
0.152,0.152,2.000
0.515,0.515,2.000
-0.599,-0.599,2.000
-0.234,-0.234,2.000
-0.035,-0.035,2.000
0.558,0.558,2.000
0.112,0.112,2.000
-0.156,-0.156,2.000
-0.086,-0.086,2.000
0.348,0.348,2.000
0.266,0.266,2.000
0.169,0.169,2.000
0.240,0.240,2.000
0.208,0.208,2.000
-0.138,-0.138,2.000
-0.289,-0.289,2.000
-0.050,-0.050,2.000
-0.613,-0.613,2.000
0.303,0.303,2.000
-0.007,-0.007,2.000
-0.521,-0.521,2.000
-0.375,-0.375,2.000
0.037,0.037,2.000
0.523,0.523,2.000
-0.494,-0.494,2.000
0.045,0.045,2.000
0.063,0.063,2.000
-0.154,-0.154,2.000
-0.273,-0.273,2.000
-0.263,-0.263,2.000
0.552,0.552,2.000
0.087,0.087,2.000
0.214,0.214,2.000
0.179,0.179,2.000
0.248,0.248,2.000
-0.219,-0.219,2.000
-0.497,-0.497,2.000
0.194,0.194,2.000
-0.135,-0.135,2.000
-0.092,-0.092,2.000
0.042,0.042,2.000
0.343,0.343,2.000
0.144,0.144,2.000
-0.009,-0.009,2.000
-0.095,-0.095,2.000
-0.008,-0.008,2.000
-0.298,-0.298,2.000
-0.374,-0.374,2.000
-0.200,-0.200,2.000
0.096,0.096,2.000
0.104,0.104,2.000
-0.040,-0.040,2.000
0.451,0.451,2.000
0.089,0.089,2.000
-0.089,-0.089,2.000
0.211,0.211,2.000
-0.345,-0.345,2.000
-0.259,-0.259,2.000
-0.022,-0.022,2.000
0.043,0.043,2.000
0.033,0.033,2.000
0.276,0.276,2.000
-0.007,-0.007,2.000
0.404,0.404,2.000
-0.045,-0.045,2.000
0.290,0.290,2.000
-0.236,-0.236,2.000
-0.339,-0.339,2.000
0.479,0.479,2.000
0.617,0.617,2.000
-0.281,-0.281,2.000
-0.043,-0.043,2.000
0.171,0.171,2.000
-0.426,-0.426,2.000
0.152,0.152,2.000
-0.340,-0.340,2.000
-0.344,-0.344,2.000
0.030,0.030,2.000
0.520,0.520,2.000
-0.382,-0.382,2.000
0.188,0.188,2.000
0.283,0.283,2.000
-0.154,-0.154,2.000
-0.019,-0.019,2.000
-0.533,-0.533,2.000
-0.152,-0.152,2.000
0.203,0.203,2.000
-0.081,-0.081,2.000
0.165,0.165,2.000
-0.799,-0.799,2.000
-0.278,-0.278,2.000
0.234,0.234,2.000
-0.334,-0.334,2.000
-0.866,-0.866,2.000
-0.234,-0.234,2.000
-0.254,-0.254,2.000
-0.033,-0.033,2.000
-0.146,-0.146,2.000
0.548,0.548,2.000
-0.221,-0.221,2.000
-0.233,-0.233,2.000
0.313,0.313,2.000
0.041,0.041,2.000
0.041,0.041,2.000
-0.236,-0.236,2.000
-0.376,-0.376,2.000
0.245,0.245,2.000
-0.307,-0.307,2.000
0.025,0.025,2.000
0.321,0.321,2.000
0.661,0.661,2.000
0.159,0.159,2.000
-0.266,-0.266,2.000
0.012,0.012,2.000
0.252,0.252,2.000
0.255,0.255,2.000
0.176,0.176,2.000
0.148,0.148,2.000
0.436,0.436,2.000
0.196,0.196,2.000
-0.798,-0.798,2.000
-0.175,-0.175,2.000
0.423,0.423,2.000
-0.402,-0.402,2.000
-0.329,-0.329,2.000
0.072,0.072,2.000
0.306,0.306,2.000
-0.181,-0.181,2.000
0.357,0.357,2.000
0.065,0.065,2.000
0.027,0.027,2.000
-0.109,-0.109,2.000
-0.367,-0.367,2.000
0.259,0.259,2.000
0.078,0.078,2.000
-0.094,-0.094,2.000
-0.323,-0.323,2.000
0.593,0.593,2.000
0.564,0.564,2.000
0.563,0.563,2.000
0.620,0.620,2.000
0.151,0.151,2.000
-0.196,-0.196,2.000
0.030,0.030,2.000
-0.142,-0.142,2.000
-0.150,-0.150,2.000
0.112,0.112,2.000
0.323,0.323,2.000
0.435,0.435,2.000
0.301,0.301,2.000
0.207,0.207,2.000
0.132,0.132,2.000
-0.284,-0.284,2.000
0.075,0.075,2.000
0.221,0.221,2.000
-0.135,-0.135,2.000
0.124,0.124,2.000
0.015,0.015,2.000
0.054,0.054,2.000
-0.569,-0.569,2.000
-0.384,-0.384,2.000
-0.390,-0.390,2.000
0.459,0.459,2.000
0.391,0.391,2.000
0.072,0.072,2.000
0.123,0.123,2.000
-0.069,-0.069,2.000
0.097,0.097,2.000
0.372,0.372,2.000
0.023,0.023,2.000
0.273,0.273,2.000
-0.528,-0.528,2.000
-0.349,-0.349,2.000
0.896,0.896,2.000
0.053,0.053,2.000
0.117,0.117,2.000
-0.067,-0.067,2.000
-0.084,-0.084,2.000
-0.012,-0.012,2.000
0.257,0.257,2.000
-0.045,-0.045,2.000
0.309,0.309,2.000
0.485,0.485,2.000
-0.173,-0.173,2.000
-0.090,-0.090,2.000
0.586,0.586,2.000
0.250,0.250,2.000
0.055,0.055,2.000
-0.317,-0.317,2.000
0.458,0.458,2.000
-0.438,-0.438,2.000
0.310,0.310,2.000
0.315,0.315,2.000
-0.586,-0.586,2.000
0.342,0.342,2.000
-0.424,-0.424,2.000
0.130,0.130,2.000
0.487,0.487,2.000
-0.014,-0.014,2.000
0.072,0.072,2.000
-0.171,-0.171,2.000
0.306,0.306,2.000
0.321,0.321,2.000
0.149,0.149,2.000
-0.256,-0.256,2.000
0.225,0.225,2.000
-0.158,-0.158,2.000
0.013,0.013,2.000
0.019,0.019,2.000
0.213,0.213,2.000
0.364,0.364,2.000
-0.005,-0.005,2.000
-0.473,-0.473,2.000
0.121,0.121,2.000
0.073,0.073,2.000
0.259,0.259,2.000
-0.475,-0.475,2.000
-0.406,-0.406,2.000
-0.301,-0.301,2.000
-0.009,-0.009,2.000
-0.727,-0.727,2.000
-0.387,-0.387,2.000
0.425,0.425,2.000
0.028,0.028,2.000
-0.015,-0.015,2.000
0.272,0.272,2.000
0.033,0.033,2.000
0.080,0.080,2.000
-0.109,-0.109,2.000
0.037,0.037,2.000
0.262,0.262,2.000
0.254,0.254,2.000
-0.265,-0.265,2.000
-0.531,-0.531,2.000
-0.583,-0.583,2.000
-0.077,-0.077,2.000
0.112,0.112,2.000
-0.276,-0.276,2.000
0.188,0.188,2.000
0.584,0.584,2.000
0.478,0.478,2.000
-0.767,-0.767,2.000
0.064,0.064,2.000
0.595,0.595,2.000
0.168,0.168,2.000
-0.087,-0.087,2.000
0.024,0.024,2.000
-0.195,-0.195,2.000
-0.239,-0.239,2.000
-0.072,-0.072,2.000
-0.113,-0.113,2.000
0.002,0.002,2.000
0.076,0.076,2.000
0.021,0.021,2.000
-0.411,-0.411,2.000
0.364,0.364,2.000
-0.145,-0.145,2.000
-0.104,-0.104,2.000
0.424,0.424,2.000
-0.120,-0.120,2.000
-0.363,-0.363,2.000
-0.219,-0.219,2.000
0.695,0.695,2.000
-0.022,-0.022,2.000
0.123,0.123,2.000
0.097,0.097,2.000
0.131,0.131,2.000
-0.080,-0.080,2.000
0.097,0.097,2.000
-0.285,-0.285,2.000
0.686,0.686,2.000
0.174,0.174,2.000
0.070,0.070,2.000
-0.305,-0.305,2.000
-0.011,-0.011,2.000
-0.106,-0.106,2.000
-0.004,-0.004,2.000
0.020,0.020,2.000
-0.011,-0.011,2.000
0.233,0.233,2.000
0.222,0.222,2.000
0.236,0.236,2.000
0.285,0.285,2.000
0.395,0.395,2.000
-0.113,-0.113,2.000
-0.057,-0.057,2.000
-0.012,-0.012,2.000
-0.583,-0.583,2.000
-0.370,-0.370,2.000
0.320,0.320,2.000
0.157,0.157,2.000
0.264,0.264,2.000
-1.993,-0.668,3.000
0.438,0.223,3.000
0.509,0.188,3.000
-0.627,-0.500,3.000
-1.366,-0.396,3.000
0.318,0.328,3.000
-0.170,0.155,3.000
0.331,0.093,3.000
0.088,0.228,3.000
-0.219,0.276,3.000
-0.396,-0.362,3.000
-0.651,-0.366,3.000
-0.631,-0.273,3.000
0.056,-0.096,3.000
-0.134,0.022,3.000
-0.795,-0.445,3.000
0.309,0.117,3.000
0.556,0.255,3.000
0.237,0.042,3.000
-0.977,-0.371,3.000
-0.021,-0.316,3.000
0.459,0.196,3.000
-0.251,-0.226,3.000
0.876,0.232,3.000
0.064,0.099,3.000
0.809,0.587,3.000
0.034,-0.124,3.000
0.274,-0.030,3.000
-0.416,0.164,3.000
-0.389,-0.149,3.000
-0.879,-0.309,3.000
-0.152,0.300,3.000
-0.130,-0.166,3.000
-0.405,-0.111,3.000
0.105,0.110,3.000
-0.233,0.121,3.000
-0.041,0.047,3.000
0.535,0.090,3.000
-0.436,-0.100,3.000
0.106,0.130,3.000
0.753,0.237,3.000
-0.458,-0.024,3.000
-0.504,0.070,3.000
0.848,0.543,3.000
-0.205,-0.005,3.000
2.078,0.830,3.000
0.551,0.280,3.000
0.572,0.252,3.000
0.797,0.172,3.000
-0.100,-0.113,3.000
-0.269,0.115,3.000
-0.098,-0.194,3.000
-1.564,-0.670,3.000
-1.328,-0.373,3.000
-0.863,-0.293,3.000
-0.276,-0.107,3.000
-0.690,-0.469,3.000
-0.674,-0.243,3.000
0.225,0.236,3.000
0.069,-0.180,3.000
0.352,-0.062,3.000
-0.950,-0.487,3.000
0.506,0.282,3.000
-0.011,-0.007,3.000
-0.098,0.046,3.000
-0.198,0.031,3.000
-1.505,-0.599,3.000
0.247,0.462,3.000
0.264,0.289,3.000
0.021,0.083,3.000
0.575,-0.028,3.000
0.293,0.234,3.000
0.715,0.131,3.000
0.391,-0.231,3.000
0.794,0.166,3.000
1.595,0.283,3.000
-0.628,-0.344,3.000
1.235,0.600,3.000
-0.847,-0.173,3.000
0.165,0.286,3.000
0.296,0.046,3.000
-0.079,-0.069,3.000
-0.196,-0.059,3.000
0.217,-0.072,3.000
-0.453,-0.137,3.000
-0.804,-0.147,3.000
-0.583,-0.002,3.000
-0.717,-0.338,3.000
-0.511,-0.096,3.000
-0.015,0.095,3.000
0.256,0.022,3.000
1.803,0.556,3.000
0.369,-0.224,3.000
-0.254,0.042,3.000
0.220,-0.263,3.000
0.205,-0.095,3.000
0.391,-0.022,3.000
0.191,0.044,3.000
0.089,0.381,3.000
-0.260,0.293,3.000
0.446,0.159,3.000
1.264,0.908,3.000
0.474,0.411,3.000
0.393,0.063,3.000
-0.462,-0.055,3.000
-0.964,-0.281,3.000
1.437,0.563,3.000
-0.679,-0.193,3.000
0.098,0.149,3.000
-0.256,0.079,3.000
0.362,-0.043,3.000
-0.793,0.117,3.000
1.403,0.707,3.000
0.466,0.393,3.000
0.393,0.020,3.000
-1.032,-0.422,3.000
-0.625,-0.114,3.000
-0.737,-0.600,3.000
0.047,0.293,3.000
0.023,0.247,3.000
0.086,0.576,3.000
-0.116,-0.193,3.000
-0.287,-0.049,3.000
1.743,0.671,3.000
0.685,0.447,3.000
0.609,0.230,3.000
-0.176,-0.213,3.000
0.139,0.358,3.000
-0.130,0.011,3.000
0.078,0.122,3.000
-0.655,-0.343,3.000
-0.419,-0.073,3.000
0.434,0.137,3.000
0.321,0.361,3.000
0.385,0.050,3.000
1.349,0.375,3.000
-0.748,-0.369,3.000
-0.273,-0.084,3.000
-0.976,-0.634,3.000
-0.031,-0.039,3.000
0.395,0.557,3.000
-0.197,0.002,3.000
-0.104,0.228,3.000
-0.214,0.047,3.000
-0.912,-0.243,3.000
-0.540,-0.361,3.000
-0.471,-0.639,3.000
0.189,-0.199,3.000
0.408,-0.345,3.000
1.389,0.553,3.000
-0.564,-0.266,3.000
-1.164,-0.526,3.000
1.395,0.314,3.000
-0.871,-0.094,3.000
-0.395,-0.173,3.000
-0.375,0.335,3.000
-0.422,-0.138,3.000
-0.433,-0.281,3.000
0.964,0.417,3.000
-1.215,-0.653,3.000
0.061,0.090,3.000
0.475,0.317,3.000
-0.062,0.112,3.000
1.196,0.509,3.000
-0.034,0.305,3.000
-0.518,-0.491,3.000
0.647,0.167,3.000
0.313,0.203,3.000
0.710,0.259,3.000
0.121,0.288,3.000
-0.307,-0.234,3.000
-0.364,-0.354,3.000
-0.940,-0.430,3.000
-0.584,-0.185,3.000
0.147,0.290,3.000
0.123,0.357,3.000
-0.536,-0.154,3.000
-0.656,-0.397,3.000
0.517,0.374,3.000
-0.968,-0.748,3.000
1.489,0.780,3.000
-0.326,-0.071,3.000
-0.363,-0.194,3.000
0.527,0.176,3.000
0.272,0.155,3.000
0.905,0.314,3.000
-0.517,-0.351,3.000
-1.587,-1.091,3.000
0.590,0.354,3.000
0.475,-0.008,3.000
-0.128,0.172,3.000
0.476,0.076,3.000
-0.998,-0.799,3.000
1.442,0.362,3.000
-0.545,-0.549,3.000
-0.474,-0.487,3.000
0.986,0.321,3.000
-0.344,-0.434,3.000
0.802,0.200,3.000
0.353,-0.053,3.000
-0.207,0.171,3.000
-0.124,-0.151,3.000
-1.436,-0.767,3.000
-0.372,-0.282,3.000
-1.496,-0.312,3.000
0.620,-0.084,3.000
1.022,0.392,3.000
-0.383,0.480,3.000
-0.325,-0.355,3.000
-1.516,-0.149,3.000
-0.570,-0.410,3.000
-0.490,0.074,3.000
-0.229,-0.188,3.000
0.114,0.089,3.000
0.260,-0.031,3.000
0.516,0.036,3.000
-0.642,-0.358,3.000
-0.516,-0.588,3.000
-0.794,-0.404,3.000
-0.520,-0.300,3.000
-1.034,-0.279,3.000
0.103,-0.209,3.000
-0.233,-0.017,3.000
-0.411,-0.328,3.000
-0.421,-0.344,3.000
-0.691,-0.376,3.000
-0.429,-0.115,3.000
-0.674,-0.390,3.000
-0.470,-0.726,3.000
-0.199,0.059,3.000
0.165,0.027,3.000
0.572,0.779,3.000
-0.510,-0.316,3.000
-0.071,-0.395,3.000
1.072,0.592,3.000
0.657,0.196,3.000
0.644,0.311,3.000
0.257,0.207,3.000
0.591,0.360,3.000
-0.783,-0.277,3.000
0.234,-0.208,3.000
-0.119,0.069,3.000
0.449,-0.125,3.000
-0.335,-0.263,3.000
0.177,-0.139,3.000
-0.402,-0.165,3.000
-0.554,-0.458,3.000
0.316,0.015,3.000
0.578,0.375,3.000
0.354,0.049,3.000
-0.369,0.236,3.000
0.428,0.068,3.000
-0.762,-0.163,3.000
0.693,0.611,3.000
0.123,-0.056,3.000
0.961,0.263,3.000
0.601,0.224,3.000
-0.310,-0.308,3.000
0.137,0.201,3.000
0.045,0.191,3.000
0.327,-0.022,3.000
0.572,0.371,3.000
0.213,-0.304,3.000
0.419,-0.101,3.000
1.192,0.524,3.000
-0.580,-0.426,3.000
0.642,0.417,3.000
-1.359,-0.468,3.000
-0.044,-0.154,3.000
0.851,0.265,3.000
0.755,0.312,3.000
0.072,0.226,3.000
0.298,-0.252,3.000
0.069,0.065,3.000
0.603,0.181,3.000
-0.856,-0.670,3.000
0.408,0.364,3.000
-0.145,-0.070,3.000
0.181,-0.055,3.000
0.126,-0.058,3.000
-0.081,0.153,3.000
0.029,0.189,3.000
0.140,0.297,3.000
1.097,0.129,3.000
0.508,0.372,3.000
-0.108,0.009,3.000
0.649,0.107,3.000
0.985,0.350,3.000
-0.442,-0.214,3.000
0.092,-0.015,3.000
-0.150,-0.270,3.000
0.698,0.261,3.000
-0.333,-0.236,3.000
0.609,0.151,3.000
0.258,0.194,3.000
-1.373,-0.491,3.000
-0.461,0.005,3.000
0.964,0.116,3.000
-0.544,-0.046,3.000
-0.669,-0.361,3.000
-1.133,-0.375,3.000
-0.625,-0.179,3.000
-0.164,-0.051,3.000
-0.877,-0.258,3.000
0.829,0.484,3.000
-0.286,-0.014,3.000
0.248,-0.457,3.000
0.766,0.283,3.000
-1.345,-0.584,3.000
0.558,0.363,3.000
0.272,0.027,3.000
1.107,0.336,3.000
-0.525,-0.200,3.000
-0.081,0.171,3.000
-0.007,0.194,3.000
-0.558,-0.078,3.000
0.191,0.370,3.000
-1.586,-0.299,3.000
0.023,0.194,3.000
-0.149,-0.119,3.000
0.148,0.186,3.000
1.171,0.152,3.000
0.287,0.115,3.000
0.079,-0.235,3.000
0.335,0.017,3.000
0.957,0.593,3.000
0.073,0.243,3.000
-0.122,-0.080,3.000
-0.168,0.134,3.000
0.633,0.310,3.000
0.211,-0.097,3.000
0.348,0.115,3.000
-0.572,-0.407,3.000
0.365,0.167,3.000
0.802,0.267,3.000
0.656,-0.251,3.000
-2.085,-0.814,3.000
-0.659,-0.362,3.000
1.101,0.338,3.000
-0.248,0.179,3.000
0.479,0.277,3.000
0.627,0.281,3.000
-1.012,-0.597,3.000
-0.361,-0.002,3.000
0.059,0.059,3.000
-0.362,-0.233,3.000
0.336,0.271,3.000
0.449,0.083,3.000
-0.544,-0.299,3.000
-0.208,-0.035,3.000
1.313,0.325,3.000
-0.010,0.036,3.000
-0.382,-0.119,3.000
0.149,0.190,3.000
-0.187,-0.325,3.000
-0.638,0.045,3.000
0.794,0.366,3.000
0.064,0.038,3.000
0.151,-0.084,3.000
0.987,0.131,3.000
0.369,0.241,3.000
0.875,0.253,3.000
-1.371,-0.342,3.000
0.309,0.086,3.000
0.984,0.640,3.000
0.339,-0.047,3.000
-0.282,-0.190,3.000
-0.270,0.133,3.000
-0.218,-0.319,3.000
0.229,0.092,3.000
0.161,0.234,3.000
0.008,-0.298,3.000
0.265,0.445,3.000
0.377,0.316,3.000
-0.259,-0.074,3.000
0.387,0.160,3.000
-0.624,-0.105,3.000
0.305,-0.040,3.000
0.133,0.261,3.000
0.092,0.342,3.000
-1.333,-0.769,3.000
-0.077,-0.001,3.000
0.620,-0.024,3.000
0.728,0.554,3.000
-0.062,0.113,3.000
-0.225,-0.307,3.000
0.184,0.208,3.000
-0.132,-0.169,3.000
1.020,0.237,3.000
0.014,0.063,3.000
-0.218,-0.176,3.000
-0.344,0.134,3.000
0.637,0.199,3.000
0.099,0.113,3.000
0.188,0.347,3.000
1.001,0.413,3.000
0.450,0.306,3.000
-0.205,0.199,3.000
0.178,0.040,3.000
0.306,0.375,3.000
0.927,0.495,3.000
0.076,0.378,3.000
-0.288,-0.215,3.000
-0.909,-0.337,3.000
0.220,-0.240,3.000
-1.030,-0.369,3.000
-0.439,-0.215,3.000
-0.078,-0.214,3.000
-0.238,0.157,3.000
0.296,0.061,3.000
0.025,0.010,3.000
-0.184,-0.065,3.000
0.293,0.083,3.000
-0.437,-0.293,3.000
0.311,0.293,3.000
-0.212,-0.559,3.000
-0.956,-0.259,3.000
-0.387,-0.041,3.000
-1.264,-0.196,3.000
0.132,-0.025,3.000
-0.195,-0.288,3.000
-0.529,-0.452,3.000
0.420,0.147,3.000
-0.412,-0.437,3.000
1.001,0.182,3.000
0.749,0.102,3.000
0.643,0.197,3.000
-0.191,0.181,3.000
0.100,0.102,3.000
-0.535,-0.283,3.000
0.592,0.051,3.000
0.623,0.158,3.000
-0.492,-0.331,3.000
-0.065,-0.111,3.000
0.025,0.172,3.000
-0.002,-0.029,3.000
-0.073,-0.014,3.000
-1.114,-0.615,3.000
-0.064,-0.113,3.000
-0.166,-0.446,3.000
0.722,0.115,3.000
0.049,0.069,3.000
0.241,0.126,3.000
-0.189,-0.235,3.000
0.306,-0.085,3.000
0.215,-0.192,3.000
0.510,0.191,3.000
-1.263,-0.746,3.000
-0.408,-0.112,3.000
-1.419,-0.638,3.000
0.145,0.103,3.000
0.060,-0.236,3.000
0.698,0.467,3.000
0.957,0.460,3.000
1.130,0.569,3.000
0.149,0.133,3.000
0.190,0.164,3.000
-0.500,-0.092,3.000
0.560,0.165,3.000
0.220,0.267,3.000
0.008,-0.282,3.000
0.151,0.461,3.000
-0.289,-0.059,3.000
-0.380,-0.391,3.000
-0.369,-0.405,3.000
0.150,0.450,3.000
0.683,0.227,3.000
-0.192,0.264,3.000
0.333,0.141,3.000
-0.090,-0.119,3.000
0.363,0.063,3.000
0.526,0.008,3.000
-0.198,0.124,3.000
0.828,0.578,3.000
0.154,0.192,3.000
1.372,0.768,3.000
0.400,0.157,3.000
-0.112,0.175,3.000
-0.534,-0.137,3.000
1.245,0.604,3.000
0.703,0.049,3.000
-0.513,-0.219,3.000
-0.141,-0.135,3.000
0.166,0.012,3.000
0.659,0.304,3.000
0.044,-0.032,3.000
-0.201,-0.086,3.000
0.279,0.143,3.000
-0.687,-0.546,3.000
1.124,0.755,3.000
0.268,-0.160,3.000
0.258,0.560,3.000
0.045,0.003,3.000
0.263,0.017,3.000
-0.502,-0.138,3.000
0.654,0.432,3.000
-0.353,0.396,3.000
0.477,0.184,3.000
0.244,0.116,3.000
0.897,0.304,3.000
-0.029,-0.091,4.000
-0.477,-0.857,4.000
-0.226,-0.085,4.000
-0.319,0.232,4.000
-0.144,-0.553,4.000
0.707,0.506,4.000
-0.039,-0.371,4.000
0.128,0.464,4.000
-0.369,-0.214,4.000
-0.065,0.319,4.000
0.066,0.408,4.000
-0.133,0.168,4.000
0.026,-0.084,4.000
-0.468,-0.105,4.000
-0.109,-0.154,4.000
-0.272,0.009,4.000
0.065,0.525,4.000
-0.459,-0.458,4.000
-0.533,-0.247,4.000
-0.453,-0.155,4.000
0.219,-0.238,4.000
0.563,-0.213,4.000
-0.197,0.407,4.000
-0.251,-0.393,4.000
0.323,-0.050,4.000
0.009,-0.255,4.000
-0.194,-0.387,4.000
-0.263,0.185,4.000
-0.014,0.492,4.000
-0.681,-0.221,4.000
-0.761,0.215,4.000
-0.576,-0.184,4.000
0.111,-0.244,4.000
0.345,0.185,4.000
-0.076,-0.020,4.000
0.478,0.045,4.000
-0.033,-0.174,4.000
-0.420,-0.145,4.000
-0.088,-0.016,4.000
0.011,0.236,4.000
0.472,-0.307,4.000
0.037,0.431,4.000
-0.024,-0.084,4.000
0.065,-0.208,4.000
-0.213,-0.437,4.000
0.627,0.272,4.000
-0.105,-0.168,4.000
0.211,0.069,4.000
-0.073,0.517,4.000
0.738,0.096,4.000
-0.252,-0.435,4.000
0.034,-0.094,4.000
-0.540,-0.307,4.000
-0.776,-0.027,4.000
-0.014,-0.176,4.000
-0.875,-0.646,4.000
0.365,-0.193,4.000
-0.178,0.036,4.000
0.154,-0.275,4.000
0.158,0.126,4.000
-0.729,-0.080,4.000
0.039,-0.041,4.000
0.249,-0.187,4.000
0.381,0.878,4.000
0.044,0.172,4.000
-0.631,-0.347,4.000
0.271,-0.117,4.000
-0.364,-0.131,4.000
-0.040,0.179,4.000
-0.560,-0.338,4.000
0.206,-0.130,4.000
-0.288,-0.071,4.000
-0.195,0.374,4.000
0.257,-0.148,4.000
0.216,0.397,4.000
0.138,0.282,4.000
-0.106,-0.273,4.000
-0.058,-0.287,4.000
0.493,0.343,4.000
-0.066,-0.258,4.000
-0.034,0.546,4.000
0.129,0.430,4.000
0.455,0.338,4.000
-0.160,-0.278,4.000
0.202,-0.329,4.000
0.286,0.138,4.000
-0.532,-0.165,4.000
-0.139,0.091,4.000
-0.049,0.064,4.000
-0.189,0.041,4.000
0.096,-0.116,4.000
0.631,-0.142,4.000
-0.448,0.114,4.000
0.090,0.243,4.000
-0.198,-0.023,4.000
-0.031,-0.096,4.000
-0.122,-0.235,4.000
0.063,-0.156,4.000
-0.194,-0.274,4.000
0.396,0.322,4.000
0.488,0.502,4.000
0.018,0.196,4.000
-0.439,-0.300,4.000
-0.518,-0.122,4.000
-0.157,-0.439,4.000
-0.296,-0.289,4.000
-0.395,0.017,4.000
-0.085,-0.132,4.000
-0.584,-0.484,4.000
-0.014,-0.028,4.000
0.290,0.393,4.000
0.121,0.544,4.000
0.506,0.267,4.000
-0.498,-0.181,4.000
0.277,0.587,4.000
-0.026,0.050,4.000
-0.575,0.229,4.000
0.021,0.082,4.000
0.139,0.378,4.000
0.034,-0.203,4.000
0.247,0.128,4.000
0.215,-0.138,4.000
0.262,0.372,4.000
